,"All mutants (1770 results, without single mutants)",Mutant type,No. experiments,Change in average lifespan,Unnamed: 4,Epistasis
0,skn-1;trpa-1,Double mutant,1,-11.11%,,
1,skn-1;vang-1,Double mutant,1,27.45%,,
2,sod-1;sod-2,Double mutant,1,65.54%,,
3,sod-1;sod-2;sod-3;sod-4;sod-5,5-mutant,1,15.41%,,
4,sod-1;sod-2;sod-4,Triple mutant,1,31.64%,,
5,sod-1;sod-3,Double mutant,1,18.64%,,
6,sod-1;sod-3;sod-5,Triple mutant,1,6.78%,,
7,sod-1;sod-4,Double mutant,1,-1.13%,,
8,sod-1;sod-5,Double mutant,1,2.82%,,
9,sod-1;xbp-1,Double mutant,2,11.68% ..  27.52%,,
10,sod-2;sod-3,Double mutant,1,41.81%,,
11,sod-2;sod-3;sod-5,Triple mutant,1,14.69%,,
12,sod-2;sod-4,Double mutant,1,51.41%,,
13,sod-2;sod-5,Double mutant,1,38.98%,,
14,sod-3;sod-5,Double mutant,1,12.99%,,
15,taf-4;tpk-1,Double mutant,1,-38.05% .. 151.29%,[est.],
16,tcer-1;tcer-1,Double mutant,4,15.59% ..  32.97%,,
17,trpa-1;unc-43,Double mutant,1,14.05%,,
18,ubc-18;wwp-1,Double mutant,2,-3.76% ..  2.14%,,
19,unc-31;unc-64,Double mutant,1,79.17%,,
20,aak-1;aak-2;frh-1,Triple mutant,1,4.07%,,
21,aak-1;frh-1,Double mutant,1,25.00%,,
22,aak-2;atp-3,Double mutant,2,-40.12% ..  -33.72%,,
23,aak-2;cco-1,Double mutant,2,40.70% ..  48.26%,,
24,aak-2;chc-1,Double mutant,1,-13.30%,,
25,aak-2;cyc-2.1,Double mutant,2,-20.00% ..  -15.87%,,
26,aak-2;daf-16,Double mutant,2,-44.33% ..  -27.00%,,
27,aak-2;daf-16;daf-2,Triple mutant,1,-35.37%,,
28,aak-2;daf-2,Double mutant,7,-14.00% ..  75.78%,,
29,aak-2;daf-2;rsks-1,Triple mutant,7,73.85% ..  175.89%,,
30,aak-2;daf-9,Double mutant,1,10.81%,,
31,aak-2;fasn-1,Double mutant,1,-11.82%,,
32,aak-2;frh-1,Double mutant,2,-5.23% ..  34.30%,,
33,aak-2;ifg-1,Double mutant,1,7.88%,,
34,aak-2;igf-1,Double mutant,1,-12.18%,,
35,aak-2;isp-1,Double mutant,2,31.98% ..  125.58%,,
36,aak-2;let-711,Double mutant,1,-14.78%,,
37,aak-2;mdt-15,Double mutant,1,-39.90%,,
38,aak-2;nmur-1,Double mutant,1,23.21%,,
39,aak-2;nuo-2,Double mutant,2,22.09% ..  30.23%,,
40,aak-2;rsks-1,Double mutant,5,-30.77% ..  1.13%,,
41,aak-2;sca-1,Double mutant,1,-10.84%,,
42,aak-2;sod-1,Double mutant,2,-45.48% .. -184.47%,[est.],
43,aak-2;unc-70,Double mutant,1,-14.78%,,
44,aak-2;xbp-1,Double mutant,3,-20.00% ..  41.45%,,
45,aakb-1;daf-2,Double mutant,5,66.89% ..  101.48%,,
46,aakg-1;daf-2;rff-3,Triple mutant,4,-32.13% .. -130.35%,[est.],
47,aakg-2;daf-2;rff-3,Triple mutant,4,-24.88% .. -100.94%,[est.],
48,aakg-3;daf-2;rff-3,Triple mutant,4,-28.07% .. -113.88%,[est.],
49,aakg-4;aakg-5,Double mutant,2,7.07% ..  25.77%,,
50,aakg-4;aakg-5;daf-2,Triple mutant,2,98.99%,,
51,aakg-4;daf-2,Double mutant,11,61.76% ..  115.32%,,
52,aakg-4;daf-2;rff-3,Triple mutant,6,-42.0% .. -170.35%,[est.],
53,aakg-4;daf-2;rsks-1,Triple mutant,2,90.63% ..  91.18%,,
54,aakg-4;rrf-3,Double mutant,4,-70.13% .. -284.47%,[est.],
55,aakg-4;rsks-1,Double mutant,2,3.12% ..  10.29%,,
56,aakg-5;daf-2,Double mutant,3,74.23% ..  104.04%,,
57,aakg-5;daf-2;rff-3,Triple mutant,5,-48.38% .. -196.24%,[est.],
58,aakg-5;rrf-3,Double mutant,1,-65.2% .. 41.18%,[est.],
59,aap-1;asm-3,Double mutant,1,48.87% .. 503.88%,[est.],
60,aat-2;daf-16;rrf-3,Triple mutant,1,-23.27%,,
61,abu-11;daf-2,Double mutant,4,40.20% ..  123.04%,,
62,acdh-13;daf-16;rrf-3,Triple mutant,1,12.19%,,
63,aco-2;daf-2,Double mutant,2,35.06% .. 142.24%,[est.],
64,acs-5;daf-16;rrf-3,Triple mutant,1,-13.73%,,
65,ada-2;daf-16;daf-2,Triple mutant,1,-41.50%,,
66,ada-2;daf-2,Double mutant,1,95.92%,,
67,age-1;akt-1;sqt-1,Triple mutant,1,83.33%,,
68,age-1;asm-3,Double mutant,1,258.76%,,
69,age-1;cup-4,Double mutant,2,6.43% ..  20.81%,,
70,age-1;daf-16,Double mutant,2,-31.08% ..  -22.84%,,
71,age-1;daf-16;drp1,Triple mutant,1,-33.06%,,
72,age-1;daf-16;fer-15,Triple mutant,1,8.33%,,
73,age-1;daf-16;sqt-1,Triple mutant,1,16.67%,,
74,age-1;daf-18;fer-15,Triple mutant,1,0.00%,,
75,age-1;daf-2;fer-15,Triple mutant,2,96.00% ..  107.14%,,
76,age-1;drp-1,Double mutant,3,111.97% ..  149.24%,,
77,age-1;fer-15,Double mutant,5,24.00% ..  125.00%,,
78,age-1;fer-15;gro-1,Triple mutant,1,128.86%,,
79,age-1;hcf-1,Double mutant,2,82.76% ..  99.25%,,
80,age-1;hsf-1,Double mutant,2,-20.26% ..  -9.63%,,
81,age-1;ife-2,Double mutant,1,51.10%,,
82,age-1;nlp-7,Double mutant,2,9.94% ..  15.61%,,
83,age-1;oga-1,Double mutant,1,55.35%,,
84,age-1;ogt-1,Double mutant,1,0.00%,,
85,age-1;sgk-1,Double mutant,1,104.08%,,
86,age-1;shc-1,Double mutant,1,23.24%,,
87,age-1;skn-1,Double mutant,1,14.45%,,
88,age-1;sqt-1,Double mutant,1,50.00%,,
89,aha-1;clk-1,Double mutant,1,0.00%,,
90,aha-1;isp-1,Double mutant,2,13.92%,,
91,aha-1;mekk-3,Double mutant,2,-26.26% ..  -24.07%,,
92,aha-1;tpk-1,Double mutant,1,-16.3% .. 239.53%,[est.],
93,ahr-1;mekk-3,Double mutant,4,-14.65% ..  19.91%,,
94,ain-1;daf-16;daf-2,Triple mutant,1,-40.14%,,
95,ain-1;daf-2,Double mutant,1,111.56%,,
96,akt-1;akt-2,Double mutant,5,19.05% ..  220.67%,,
97,akt-1;akt-2;ets-4,Triple mutant,1,-28.65% .. 189.41%,[est.],
98,akt-1;akt-2;jnk-1,Triple mutant,1,160.40%,,
99,akt-1;akt-2;rrf-3,Triple mutant,1,63.04%,,
100,akt-1;akt-2;rrf-3;skn-1,4-mutant,3,-15.94% ..  47.83%,,
101,akt-1;akt-2;sgk-1,Triple mutant,1,54.42%,,
102,akt-1;asm-3,Double mutant,1,-5.73%,,
103,akt-1;daf-16,Double mutant,2,-39.04% ..  -34.78%,,
104,akt-1;eak-3,Double mutant,2,0.64% ..  2.36%,,
105,akt-1;eak-4,Double mutant,2,1.92% ..  3.15%,,
106,akt-1;eak-6,Double mutant,2,0.79% ..  1.92%,,
107,akt-1;eak-7,Double mutant,2,80.85% ..  92.52%,,
108,akt-1;rict-1,Double mutant,2,61.71% ..  69.78%,,
109,akt-1;sdf-9,Double mutant,4,15.38%,,
110,akt-1;sgk-1,Double mutant,3,-25.17% ..  20.69%,,
111,akt-1;trpa-1,Double mutant,1,35.53%,,
112,akt-1;utx-1,Double mutant,3,62.28% ..  86.76%,,
113,akt-2;eak-7,Double mutant,2,62.00% ..  74.83%,,
114,akt-2;trpa-1,Double mutant,1,58.31%,,
115,akt-2;utx-1,Double mutant,2,11.64% ..  34.72%,,
116,alg-2;daf-16;daf-2,Triple mutant,1,-32.65%,,
117,alg-2;daf-2,Double mutant,1,29.25%,,
118,arx-4;daf-16;daf-2,Triple mutant,1,-66.67%,,
119,arx-4;daf-2,Double mutant,1,-6.12%,,
120,asb-2;daf-16,Double mutant,1,-38.52% .. 149.41%,[est.],
121,asb-2;daf-2,Double mutant,1,69.95% .. 589.41%,[est.],
122,asb-2;fem-1;fer-15,Triple mutant,1,-44.61% .. 124.71%,[est.],
123,ash-2;rrf-1,Double mutant,3,28.22% ..  39.73%,,
124,asm-1;asm-3;rrf-3,Triple mutant,1,30.46%,,
125,asm-1;daf-18;rrf-3,Triple mutant,1,-71.0% .. 17.65%,[est.],
126,asm-2;asm-3;rrf-3,Triple mutant,1,28.16%,,
127,asm-2;daf-18;rrf-3,Triple mutant,1,-69.84% .. 22.35%,[est.],
128,asm-3;daf-16,Double mutant,1,-7.43%,,
129,asm-3;daf-16;rrf-3,Triple mutant,2,-26.44% ..  -11.76%,,
130,asm-3;daf-18;rrf-3,Triple mutant,1,-70.71% .. 18.82%,[est.],
131,asm-3;daf-2,Double mutant,1,147.53%,,
132,asm-3;pdk-1,Double mutant,1,50.69%,,
133,asm-3;rrf-3,Double mutant,1,15.52%,,
134,asp-3;daf-2;fem-23;fer-15,4-mutant,1,-24.59% .. 205.88%,[est.],
135,asp-3;fem-1;fer-15,Triple mutant,1,-56.5% .. 76.47%,[est.],
136,atf-6;daf-2,Double mutant,3,47.06% ..  115.66%,,
137,atfs-1;cco-1,Double mutant,1,57.15%,,
138,atfs-1;cyc-2.1,Double mutant,2,1.50% ..  4.76%,,
139,atfs-1;daf-2;rsks-1,Triple mutant,3,99.49% ..  123.86%,,
140,atg-10;daf-2,Double mutant,2,79.91% ..  86.45%,,
141,atg-16.2;daf-2,Double mutant,2,88.13% ..  104.21%,,
142,atg-18;daf-2,Double mutant,2,11.21% ..  77.63%,,
143,atg-18;glp-1,Double mutant,3,-21.86% ..  -8.06%,,
144,atg-18;mes-1,Double mutant,1,-26.51%,,
145,atg-18;rsks-1,Double mutant,4,-4.62% ..  3.90%,,
146,atg-3;daf-2,Double mutant,2,87.67% ..  105.14%,,
147,atg-4.1;daf-2,Double mutant,2,69.41% ..  74.30%,,
148,atg-4.2;daf-2,Double mutant,2,73.36% ..  81.28%,,
149,atg-5;daf-2,Double mutant,2,84.02% ..  119.63%,,
150,atg-7;daf-2,Double mutant,2,68.95% ..  95.79%,,
151,atg-9;ced-3,Double mutant,1,-25.46% .. 202.35%,[est.],
152,atg-9;clk-1,Double mutant,1,-20.82% .. 221.18%,[est.],
153,atg-9;daf-16,Double mutant,1,-60.56% .. 60.0%,[est.],
154,atg-9;daf-16;sir-2.1,Triple mutant,1,-61.14% .. 57.65%,[est.],
155,atg-9;daf-2,Double mutant,2,110.28% ..  113.24%,,
156,atg-9;mev-1,Double mutant,1,-51.57% .. 96.47%,[est.],
157,atg-9;rsks-1,Double mutant,1,-36.19% .. 158.82%,[est.],
158,atg-9;sir-2.1,Double mutant,2,-19.37% .. -78.59%,[est.],
159,atk-1;oga-1,Double mutant,1,24.53%,,
160,atm-1;atp-3,Double mutant,2,-75.00% ..  -68.71%,,
161,atm-1;frh-1,Double mutant,2,54.02% ..  60.74%,,
162,atp-3;cep-1,Double mutant,2,-27.65% ..  61.64%,,
163,atp-3;daf-16,Double mutant,1,-57.95% .. 70.59%,[est.],
164,atp-3;daf-2,Double mutant,1,18.33% .. 380.0%,[est.],
165,atp-3;egl-1,Double mutant,1,-52.76%,,
166,atp-3;fem-1;fer-15,Triple mutant,1,-26.91% .. 196.47%,[est.],
167,atp-3;mml-1,Double mutant,1,25.58%,,
168,atp-3;par-4,Double mutant,1,48.84%,,
169,atp-3;sad-1,Double mutant,1,33.14%,,
170,atp-4;daf-16,Double mutant,1,-37.94% .. 151.76%,[est.],
171,atp-4;daf-2,Double mutant,1,40.08% .. 468.24%,[est.],
172,atp-4;fem-1;fer-15,Triple mutant,1,-4.58% .. 287.06%,[est.],
173,atp-5;daf-16,Double mutant,1,-48.96% .. 107.06%,[est.],
174,atp-5;daf-2,Double mutant,1,71.98% .. 597.65%,[est.],
175,atp-5;fem-1;fer-15,Triple mutant,1,-24.3% .. 207.06%,[est.],
176,B0261.4;daf-16,Double mutant,1,-14.06%,,
177,B0303.9;daf-16;daf-2,Triple mutant,1,-34.69%,,
178,B0303.9;daf-2,Double mutant,1,80.27%,,
179,B0334.8;daf-16;rrf-3,Triple mutant,1,-68.01% .. 29.76%,[est.],
180,B0334.8;rrf-3;sir-2.1,Triple mutant,1,-46.55% .. 116.82%,[est.],
181,B0395.2;daf-16;daf-2,Triple mutant,1,-41.50%,,
182,B0395.2;daf-2,Double mutant,1,85.03%,,
183,B0464.7;daf-16;daf-2,Triple mutant,1,-31.97%,,
184,B0464.7;daf-2,Double mutant,1,72.79%,,
185,B0491.5;daf-16;daf-2,Triple mutant,1,-35.96%,,
186,B0491.5;daf-2,Double mutant,1,137.93%,,
187,B0491.5;eat-2,Double mutant,1,2.46%,,
188,B0511.8;daf-16;daf-2,Triple mutant,1,-31.53%,,
189,B0511.8;daf-2,Double mutant,1,139.90%,,
190,B0511.8;eat-2,Double mutant,1,41.38%,,
191,B0546.3;daf-16;rrf-3,Triple mutant,1,-10.23%,,
192,BE10.2;daf-16;daf-2,Triple mutant,1,-34.01%,,
193,BE10.2;daf-2,Double mutant,1,3.40%,,
194,bec-1;ced-3,Double mutant,1,-39.39% .. 145.88%,[est.],
195,bec-1;clk-1,Double mutant,4,-34.74% .. -140.94%,[est.],
196,bec-1;daf-15;unc-24,Triple mutant,6,-18.22% ..  -1.51%,,
197,bec-1;daf-16,Double mutant,1,-60.56% .. 60.0%,[est.],
198,bec-1;daf-16;sir-2.1,Triple mutant,1,-62.3% .. 52.94%,[est.],
199,bec-1;daf-2,Double mutant,3,89.50%,,
200,bec-1;daf-2;fem-1;fer-15,4-mutant,6,21.21% ..  45.14%,,
201,bec-1;eat-2,Double mutant,7,-28.43% ..  45.71%,,
202,bec-1;eat-2;rrf-3,Triple mutant,3,-19.29%,,
203,bec-1;fem-1;fer-15,Triple mutant,1,24.57%,,
204,bec-1;frh-1,Double mutant,2,-54.35% ..  -9.24%,,
205,bec-1;glp-1,Double mutant,3,-17.71% ..  11.73%,,
206,bec-1;isp-1,Double mutant,8,-2.29%,,
207,bec-1;LPL-4,Double mutant,3,-6.52% ..  6.25%,,
208,bec-1;mev-1,Double mutant,1,-56.79% .. 75.29%,[est.],
209,bec-1;rab-10,Double mutant,2,-15.43% ..  -13.10%,,
210,bec-1;rsks-1,Double mutant,5,-38.81% .. -157.41%,[est.],
211,bec-1;sir-2.1,Double mutant,2,-25.75% .. -104.47%,[est.],
212,bir-2;daf-2;fem-23;fer-15,4-mutant,1,-32.42% .. 174.12%,[est.],
213,blmp-1;daf-16;daf-2,Triple mutant,1,-46.94%,,
214,blmp-1;daf-2,Double mutant,1,120.41%,,
215,C01F1.1;daf-16;daf-2,Triple mutant,1,-42.86%,,
216,C01F1.2;daf-16;daf-2,Triple mutant,1,-32.51%,,
217,C01F1.2;daf-2,Double mutant,1,107.39%,,
218,C01F1.2;eat-2,Double mutant,1,31.53%,,
219,C01F6.1;daf-16;rrf-3,Triple mutant,1,-69.95% .. 21.88%,[est.],
220,C01F6.1;rrf-3;sir-2.1,Triple mutant,1,-60.12% .. 61.76%,[est.],
221,C06A5.1;daf-16;daf-2,Triple mutant,1,-49.66%,,
222,C06A5.1;daf-2,Double mutant,1,-24.49%,,
223,C06G1.1;daf-2,Double mutant,1,-17.63% .. 234.12%,[est.],
224,C07A9.2;daf-16;daf-2,Triple mutant,1,-43.54%,,
225,C07A9.2;daf-2,Double mutant,1,62.59%,,
226,C09B7.2;daf-16;rrf-3,Triple mutant,1,-76.31% .. -3.88%,[est.],
227,C09B7.2;rrf-3;sir-2.1,Triple mutant,1,-47.04% .. 114.82%,[est.],
228,C09D4.5;daf-16;daf-2,Triple mutant,1,-31.53%,,
229,C09D4.5;daf-2,Double mutant,1,150.74%,,
230,C09D4.5;eat-2,Double mutant,1,39.41%,,
231,C11H1.3;daf-16;daf-2,Triple mutant,1,-42.86%,,
232,C11H1.3;daf-2,Double mutant,1,54.42%,,
233,C12D8.10;daf-16;rrf-3,Triple mutant,1,-65.6% .. 39.53%,[est.],
234,C12D8.10;rrf-3;sir-2.1,Triple mutant,1,-34.31% .. 166.47%,[est.],
235,C14A4.9;daf-16;daf-2,Triple mutant,1,-35.37%,,
236,C14A4.9;daf-2,Double mutant,1,52.38%,,
237,C25H3.6;daf-16;daf-2,Triple mutant,1,-26.53%,,
238,C25H3.6;daf-2,Double mutant,1,53.06%,,
239,C26B9.3;daf-16;daf-2,Triple mutant,1,-44.90%,,
240,C26B9.3;daf-2,Double mutant,1,-17.01%,,
241,C27F2.5;daf-16;daf-2,Triple mutant,1,-39.46%,,
242,C27F2.5;daf-2,Double mutant,1,72.79%,,
243,C29F9.1;daf-16;daf-2,Triple mutant,1,-29.93%,,
244,C29F9.1;daf-2,Double mutant,1,68.71%,,
245,C29F9.2;daf-16;daf-2,Triple mutant,1,-29.93%,,
246,C29F9.2;daf-2,Double mutant,1,65.31%,,
247,C31H2.1;daf-16;daf-2,Triple mutant,1,-33.33%,,
248,C31H2.1;daf-2,Double mutant,1,85.71%,,
249,C32H11.1;daf-16;rrf-3,Triple mutant,1,-71.29% .. 16.47%,[est.],
250,C32H11.1;rrf-3;sir-2.1,Triple mutant,1,-54.96% .. 82.71%,[est.],
251,C33H5.18;daf-16;daf-2,Triple mutant,1,-42.86%,,
252,C33H5.18;daf-2,Double mutant,1,-13.61%,,
253,C34B4.1;daf-16;rrf-3,Triple mutant,1,-71.4% .. 16.0%,[est.],
254,C36H8.1;daf-16;rrf-3,Triple mutant,1,-69.26% .. 24.71%,[est.],
255,C36H8.1;rrf-3;sir-2.1,Triple mutant,1,-56.26% .. 77.41%,[est.],
256,C38C3.5;daf-16;daf-2,Triple mutant,1,-26.53%,,
257,C38C3.5;daf-2,Double mutant,1,94.56%,,
258,C39E9.1;daf-16;rrf-3,Triple mutant,1,-70.65% .. 19.06%,[est.],
259,C39E9.1;rrf-3;sir-2.1,Triple mutant,1,-51.71% .. 95.88%,[est.],
260,C40H1.8i;eat-2;lin-15b;nre-1,4-mutant,1,-56.09% .. 78.12%,[est.],
261,C40H1.8i;lin-15b;nre-1,Triple mutant,1,-60.9% .. 58.59%,[est.],
262,C40H5.6;daf-16;daf-2,Triple mutant,1,-43.54%,,
263,C40H5.6;daf-2,Double mutant,1,39.46%,,
264,C42C1.3;daf-16;rrf-3,Triple mutant,1,-9.80%,,
265,C47D12.6;daf-16;daf-2,Triple mutant,1,-36.45%,,
266,C47D12.6;daf-2,Double mutant,1,98.52%,,
267,C47D12.6;eat-2,Double mutant,1,24.63%,,
268,C48E7.2;daf-16;daf-2,Triple mutant,1,-33.00%,,
269,C48E7.2;daf-2,Double mutant,1,114.78%,,
270,C48E7.2;eat-2,Double mutant,1,48.77%,,
271,C51E3.7;daf-16;rrf-3,Triple mutant,1,-68.36% .. 28.35%,[est.],
272,C56E6.1;daf-16;daf-2,Triple mutant,1,-33.00%,,
273,C56E6.1;daf-2,Double mutant,1,131.03%,,
274,C56E6.1;eat-2,Double mutant,1,43.35%,,
275,cbp-1;clk-1,Double mutant,1,-20.07%,,
276,cbp-1;daf-16,Double mutant,1,-41.46%,,
277,cbp-1;daf-16;rrf3,Triple mutant,1,-22.86%,,
278,cbp-1;daf-2,Double mutant,1,21.41%,,
279,cbp-1;eat-2,Double mutant,1,-27.81%,,
280,cbp-1;glp-1,Double mutant,1,-4.98%,,
281,cbp-1;mev-1,Double mutant,1,-25.85%,,
282,cbp-1;rrf3,Double mutant,5,-28.50% ..  -16.45%,,
283,cchl-1;daf-16,Double mutant,1,-49.25% .. 105.88%,[est.],
284,cchl-1;daf-2,Double mutant,1,13.4% .. 360.0%,[est.],
285,cchl-1;fem-1;fer-15,Triple mutant,1,-48.09% .. 110.59%,[est.],
286,cco-1;cep-1,Double mutant,1,69.81%,,
287,cco-1;daf-16,Double mutant,1,-57.66% .. 71.76%,[est.],
288,cco-1;daf-16;skn-1,Triple mutant,2,7.28% ..  23.18%,,
289,cco-1;daf-2,Double mutant,1,40.08% .. 468.24%,[est.],
290,cco-1;fem-1;fer-15,Triple mutant,1,-44.9% .. 123.53%,[est.],
291,cco-1;hif-1,Double mutant,1,43.88%,,
292,cco-1;kin-29,Double mutant,1,44.19%,,
293,cco-1;mml-1,Double mutant,1,51.16%,,
294,cco-1;nhr-49,Double mutant,2,-16.57% ..  14.12%,,
295,cco-1;nhr-62,Double mutant,2,92.42% ..  109.40%,,
296,cco-1;par-4,Double mutant,1,64.53%,,
297,cco-1;sad-1,Double mutant,1,22.09%,,
298,cco-2;daf-16,Double mutant,1,-28.07% .. 191.76%,[est.],
299,cco-2;daf-2,Double mutant,1,54.0% .. 524.71%,[est.],
300,cco-2;fem-1;fer-15,Triple mutant,1,-20.82% .. 221.18%,[est.],
301,ccr-4;daf-16;daf-2,Triple mutant,1,-42.86%,,
302,ccr-4;daf-2,Double mutant,1,62.59%,,
303,CD4.4;daf-16;daf-2,Triple mutant,1,-48.98%,,
304,CD4.4;daf-2,Double mutant,1,38.78%,,
305,cdk-2;daf-16,Double mutant,3,-5.46% ..  3.63%,,
306,cdk-2;glp-1,Double mutant,3,19.69% ..  25.40%,,
307,cdk-2;kri-1,Double mutant,3,1.06% ..  12.44%,,
308,cdk-2;skn-1,Double mutant,3,-14.87% ..  -13.24%,,
309,cdr-5;rrf-3,Double mutant,1,-26.33% .. 198.82%,[est.],
310,Ce-atg7;eat-2,Double mutant,1,-8.14%,,
311,ced-13;ced-4;isp-1,Triple mutant,3,25.27% ..  30.36%,,
312,ced-13;ced-4;nuo-6,Triple mutant,3,24.38% ..  34.01%,,
313,ced-13;isp-1,Double mutant,3,12.64% ..  36.05%,,
314,ced-3;unc-51,Double mutant,1,-26.91% .. 196.47%,[est.],
315,ced-4;cyc-2.1,Double mutant,1,-9.77% .. 266.0%,[est.],
316,ced-4;egl-1;isp-1,Triple mutant,3,30.71% ..  34.28%,,
317,ced-4;egl-1;nuo-6,Triple mutant,3,31.90% ..  40.04%,,
318,ced-4;isp-1,Double mutant,5,25.46% ..  43.92%,,
319,ced-4;nuo-6,Double mutant,9,25.24% ..  60.88%,,
320,ceh-18;isp-1,Double mutant,1,-36.75% .. 156.59%,[est.],
321,ceh-18;tpk-1,Double mutant,1,-12.91% .. 253.29%,[est.],
322,ceh-23;ctb-1;isp-1,Triple mutant,18,9.36% ..  52.07%,,
323,ceh-23;isp-1,Double mutant,14,-4.59% ..  42.90%,,
324,ceh-24;isp-1,Double mutant,1,-20.33% .. 223.18%,[est.],
325,cel-1;daf-16;daf-2,Triple mutant,1,-43.54%,,
326,cel-1;daf-2,Double mutant,1,-39.46%,,
327,cep-1;clk-1,Double mutant,5,-15.06% ..  18.18%,,
328,cep-1;cyc-2.1,Double mutant,1,2.81% .. 317.06%,[est.],
329,cep-1;frh-1,Double mutant,1,33.33%,,
330,cep-1;ftn-1;ftn-2,Triple mutant,2,1.46% ..  10.32%,,
331,cep-1;ftn-1;ftn-2;isp-1,4-mutant,2,8.06% ..  35.04%,,
332,cep-1;ftn-1;ftn-2;mev-1,4-mutant,2,-16.22% ..  -11.60%,,
333,cep-1;gas-1,Double mutant,5,-19.88% ..  22.21%,,
334,cep-1;isp-1,Double mutant,6,9.62% ..  82.39%,,
335,cep-1;mev-1,Double mutant,12,-16.28% ..  16.65%,,
336,cep-1;nuo-6,Double mutant,1,3.35%,,
337,chc-1;daf-16,Double mutant,1,-37.93%,,
338,chc-1;daf-2,Double mutant,1,86.70%,,
339,chc-1;eat-2,Double mutant,1,18.72%,,
340,chc-1;ifg-1,Double mutant,2,4.87% ..  8.87%,,
341,chc-1;isp-1,Double mutant,1,45.81%,,
342,chc-1;rsks-1,Double mutant,1,13.30%,,
343,cit-1.2;daf-16;daf-2,Triple mutant,1,-33.33%,,
344,cit-1.2;daf-2,Double mutant,1,88.44%,,
345,cku-70;daf-16,Double mutant,1,-9.22%,,
346,cku-70;daf-16;daf-2,Triple mutant,1,2.84%,,
347,cku-70;daf-2,Double mutant,1,131.21%,,
348,cku-70;daf-2;glp-4,Triple mutant,1,162.41%,,
349,cku-70;rrf-3,Double mutant,1,9.93%,,
350,cku-80;daf-2,Double mutant,1,59.57%,,
351,cku-80;daf-2;glp-4,Triple mutant,1,134.75%,,
352,cku-80;rrf-3,Double mutant,1,4.26%,,
353,clk-10;daf-2,Double mutant,1,80.76%,,
354,clk-1;clk-2,Double mutant,6,37.73% ..  89.93%,,
355,clk-1;clk-3,Double mutant,6,10.56% ..  191.95%,,
356,clk-1;cup-4,Double mutant,2,26.74% ..  33.54%,,
357,clk-1;daf-16,Double mutant,3,-15.30% ..  36.24%,,
358,clk-1;daf-2,Double mutant,5,60.43% ..  477.65%,,
359,clk-1;drp-1,Double mutant,1,76.58%,,
360,clk-1;eat-2,Double mutant,2,21.00% ..  39.59%,,
361,clk-1;egl-1,Double mutant,1,32.03%,,
