,"All mutants (1770 results, without single mutants)",Mutant type,No. experiments,Change in average lifespan,Unnamed: 4,Epistasis
362,clk-1;egl-9,Double mutant,1,31.94%,,
363,clk-1;ife-2,Double mutant,1,63.19%,,
364,clk-1;ifg-1,Double mutant,1,-30.1% .. 183.53%,[est.],
365,clk-1;mekk-3,Double mutant,2,49.66% ..  106.76%,,
366,clk-1;nlp-7,Double mutant,2,28.49% ..  34.16%,,
367,clk-1;prmt-1,Double mutant,1,-43.16% .. 130.59%,[est.],
368,clk-1;rsks-1,Double mutant,1,-35.9% .. 160.0%,[est.],
369,clk-1;skn-1,Double mutant,2,12.79% ..  18.63%,,
370,clk-1;smk-1,Double mutant,1,-9.29%,,
371,clk-1;sod-2,Double mutant,1,146.89%,,
372,clk-1;unc-51,Double mutant,1,-23.14% .. 211.76%,[est.],
373,clk-1;vhl-1,Double mutant,2,33.33% ..  41.10%,,
374,clk-2;clk-3,Double mutant,3,27.95% ..  49.66%,,
375,clk-2;daf-2,Double mutant,1,268.35%,,
376,clk-2;gro-1,Double mutant,2,-17.45%,,
377,clk-3;daf-16,Double mutant,1,28.86%,,
378,clk-3;daf-2,Double mutant,1,123.09%,,
379,clk-3;gro-1,Double mutant,3,-9.32% ..  6.71%,,
380,clk-4;daf-2,Double mutant,1,123.09%,,
381,clk-5;daf-2,Double mutant,1,85.18%,,
382,clk-7;daf-2,Double mutant,1,139.97%,,
383,clk-8;daf-2,Double mutant,1,130.73%,,
384,clk-9;daf-2,Double mutant,1,136.75%,,
385,cmk-1;trpa-1,Double mutant,2,48.86% ..  58.18%,,
386,cnc-2;rrf-3,Double mutant,2,-24.01% .. -97.41%,[est.],
387,cnc-7;rrf-3,Double mutant,2,-28.07% .. -113.88%,[est.],
388,col-127;daf-2,Double mutant,1,-24.88% .. 204.71%,[est.],
389,col-13;daf-2,Double mutant,1,-31.26% .. 178.82%,[est.],
390,col-144;daf-2,Double mutant,2,60.00% ..  130.71%,,
391,col-84;daf-16;daf-2,Triple mutant,1,-40.82%,,
392,col-84;daf-2,Double mutant,1,65.99%,,
393,cst-1;daf-16,Double mutant,1,-14.72%,,
394,cst-1;daf-2,Double mutant,1,7.25%,,
395,ctb-1;drp-1;isp-1,Triple mutant,1,78.98%,,
396,ctb-1;isp-1,Double mutant,8,27.21% ..  67.35%,,
397,ctl-1;ctl-2;ctl-3,Triple mutant,3,-55.92% .. -226.82%,[est.],
398,ctl-1;ctl-2;ctl-3;sod-1,4-mutant,2,-42.0% .. -170.35%,[est.],
399,ctl-1;ctl-2;ctl-3;sod-2,4-mutant,2,-39.68% .. -160.94%,[est.],
400,ctl-1;ctl-2;daf-2;fem-23;fer-15,5-mutant,1,-28.36% .. 190.59%,[est.],
401,ctl-1;daf-2;fem-15;fer-15,4-mutant,1,-2.55% .. 295.29%,[est.],
402,ctl-1;daf-2;fem-23;fer-15,4-mutant,1,-31.26% .. 178.82%,[est.],
403,ctl-1;daf-2;rrf-3,Triple mutant,1,-6.03% .. 281.18%,[est.],
404,ctl-2;daf-2;fem-19;fer-15,4-mutant,1,3.25% .. 318.82%,[est.],
405,ctl-2;daf-2;fem-23;fer-15,4-mutant,1,-25.17% .. 203.53%,[est.],
406,ctl-2;daf-2;fem-6;fer-15,4-mutant,1,-60.56% .. 60.0%,[est.],
407,ctl-2;daf-2;rrf-3,Triple mutant,1,-2.84% .. 294.12%,[est.],
408,ctl-2;fem-1;fer-15,Triple mutant,1,-60.85% .. 58.82%,[est.],
409,cua-1;daf-16;daf-2,Triple mutant,1,-35.37%,,
410,cua-1;daf-2,Double mutant,1,-25.17%,,
411,cul-1;daf-2,Double mutant,10,15.59%,,
412,cul-1;glp-1,Double mutant,3,21.51% ..  22.58%,,
413,cul-2;daf-2,Double mutant,1,48.39%,,
414,cul-2;glp-1,Double mutant,1,34.95%,,
415,cul-3;daf-2,Double mutant,1,35.48%,,
416,cul-3;glp-1,Double mutant,1,12.37%,,
417,cul-4;daf-2,Double mutant,1,40.86%,,
418,cul-4;glp-1,Double mutant,1,32.26%,,
419,cul-5;daf-2,Double mutant,1,48.92%,,
420,cul-5;glp-1,Double mutant,1,42.47%,,
421,cul-6;daf-2,Double mutant,1,40.86%,,
422,cul-6;glp-1,Double mutant,1,39.25%,,
423,cup-4;eat-2,Double mutant,2,0.52% ..  8.21%,,
424,cup-4;nlp-7,Double mutant,2,-16.74% ..  -15.45%,,
425,cup-4;npl-7,Double mutant,4,-24.43% ..  -11.76%,,
426,cup-4;skn-1,Double mutant,2,-31.67% ..  -20.00%,,
427,cutl-28;daf-16;rrf-3,Triple mutant,1,-25.75%,,
428,cyc-1;daf-16,Double mutant,3,46.86% ..  53.80%,,
429,cyc-1;daf-16;skn-1,Triple mutant,2,5.95% ..  9.68%,,
430,cyc-1;daf-2,Double mutant,1,20.36% .. 388.24%,[est.],
431,cyc-1;fem-1;fer-15,Triple mutant,1,-30.39% .. 182.35%,[est.],
432,cyc-1;hif-1,Double mutant,1,62.50%,,
433,cyc-1;nhr-49,Double mutant,1,-12.43%,,
434,cyc-1;nhr-80,Double mutant,2,18.18% ..  64.10%,,
435,cyc-1;pha-4,Double mutant,1,35.19%,,
436,cyc-1;smk-1,Double mutant,1,46.29%,,
437,cyc-2.1;daf-12,Double mutant,1,-12.99% .. 252.94%,[est.],
438,cyc-2.1;daf-16,Double mutant,1,-27.49% .. 194.12%,[est.],
439,cyc-2.1;daf-2,Double mutant,2,242.50% ..  264.02%,,
440,cyc-2.1;daf-2;rsks-1,Triple mutant,2,226.50% ..  246.03%,,
441,cyc-2.1;drp-1,Double mutant,3,45.55% ..  58.82%,,
442,cyc-2.1;rsks-1,Double mutant,2,44.00% ..  65.08%,,
443,cye-1;daf-12,Double mutant,3,-4.41% ..  -1.55%,,
444,cye-1;daf-16,Double mutant,7,-15.34% ..  0.53%,,
445,cye-1;daf-2,Double mutant,2,197.45% ..  206.32%,,
446,cye-1;daf-9,Double mutant,3,-4.41% ..  3.11%,,
447,cye-1;glp-1,Double mutant,4,22.22% ..  33.85%,,
448,cye-1;kri-1,Double mutant,3,3.19% ..  11.94%,,
449,cye-1;mes-1,Double mutant,5,13.99% ..  25.91%,,
450,cye-1;rrf-1,Double mutant,3,15.71% ..  24.74%,,
451,cye-1;skn-1,Double mutant,3,-22.89% ..  -14.89%,,
452,cyp-35A2;fat-5,Double mutant,1,38.26%,,
453,cyp-42A1;daf-16;daf-2,Triple mutant,1,-57.82%,,
454,cyp-42A1;daf-2,Double mutant,1,-41.50%,,
455,D1069.3;daf-16;daf-2,Triple mutant,1,-31.29%,,
456,D1069.3;daf-2,Double mutant,1,93.20%,,
457,D2013.7;daf-16;daf-2,Triple mutant,1,-33.50%,,
458,D2013.7;daf-2,Double mutant,1,119.21%,,
459,D2013.7;eat-2,Double mutant,1,59.11%,,
460,D2030.4;daf-16,Double mutant,1,11.98%,,
461,D2085.3;daf-2,Double mutant,1,142.36%,,
462,D2085.3;eat-2,Double mutant,1,38.42%,,
463,D2085.5;daf-16;daf-2,Triple mutant,1,-29.93%,,
464,D2085.5;daf-2,Double mutant,1,86.39%,,
465,daf-10;daf-16,Double mutant,1,-7.45%,,
466,daf-10;daf-2,Double mutant,1,97.87%,,
467,daf-10;nmur-1,Double mutant,2,80.17% ..  86.73%,,
468,daf-12;daf-16;daf-2,Triple mutant,1,-64.62% .. 43.53%,[est.],
469,daf-12;daf-2,Double mutant,2,-37.06% .. -150.35%,[est.],
470,daf-12;daf-28,Double mutant,1,-3.38%,,
471,daf-12;daf-2;rsks-1,Triple mutant,2,7.31% .. 29.65%,[est.],
472,daf-12;daf-9,Double mutant,1,4.82%,,
473,daf-12;ddl-1,Double mutant,2,-49.83% .. -202.12%,[est.],
474,daf-12;ddl-2,Double mutant,2,-55.63% .. -225.65%,[est.],
475,daf-12;ddl-3,Double mutant,2,-54.47% .. -220.94%,[est.],
476,daf-12;glp-1,Double mutant,3,-57.95% .. -235.06%,[est.],
477,daf-12;glp-1;nhr-80,Triple mutant,3,-50.7% .. -205.65%,[est.],
478,daf-12;gpi-1,Double mutant,2,-45.77% .. -185.65%,[est.],
479,daf-12;maoc-1,Double mutant,2,-51.57% .. -209.18%,[est.],
480,daf-12;pkc-2,Double mutant,1,-31.55% .. 177.65%,[est.],
481,daf-12;sinh-1,Double mutant,2,-49.54% .. -200.94%,[est.],
482,daf-12;trpa-1,Double mutant,1,-31.55% .. 177.65%,[est.],
483,daf-12;ttr-1,Double mutant,2,-54.76% .. -222.12%,[est.],
484,daf-15;daf-16,Double mutant,3,-22.01% ..  -13.25%,,
485,daf-15;daf-16;dpy-20;dpy-20,4-mutant,1,-20.63%,,
486,daf-15;daf-2;dpy-20;dpy-20,4-mutant,1,149.21%,,
487,daf-15;ddr-2;let-363,Triple mutant,2,1.35% ..  3.76%,,
488,daf-15;dpy-20,Double mutant,1,30.16%,,
489,daf-15;hif-1;unc-24,Triple mutant,1,22.06%,,
490,daf-15;hsf-1,Double mutant,2,-30.48% ..  -27.42%,,
491,daf-15;let-363,Double mutant,2,30.87% ..  62.61%,,
492,daf-15;skn-1,Double mutant,3,-20.41% ..  -17.83%,,
493,daf-15;unc-24,Double mutant,5,9.55% ..  22.06%,,
494,daf-16;daf-16,Double mutant,1,-37.44%,,
495,daf-16;daf-16;daf-2,Triple mutant,24,-31.97%,,
496,daf-16;daf-16;glp-1,Triple mutant,14,-57.37% .. -232.71%,[est.],
497,daf-16;daf-18,Double mutant,1,-19.67%,,
498,daf-16;daf-19,Double mutant,1,-18.62%,,
499,daf-16;daf-2,Double mutant,95,-41.38% ..  34.43%,,
500,daf-16;daf-23,Double mutant,1,-65.2% .. 41.18%,[est.],
501,daf-16;daf-28,Double mutant,1,-32.37%,,
502,daf-16;daf-2;drp-1,Triple mutant,1,-14.94%,,
503,daf-16;daf-2;egr-1,Triple mutant,1,-49.66%,,
504,daf-16;daf-2;elo-5,Triple mutant,1,-36.73%,,
505,daf-16;daf-2;F14B4.3,Triple mutant,1,-35.96%,,
506,daf-16;daf-2;F22D6.3,Triple mutant,1,-35.96%,,
507,daf-16;daf-2;F26E4.4,Triple mutant,1,-35.96%,,
508,daf-16;daf-2;F28D1.9,Triple mutant,1,-36.73%,,
509,daf-16;daf-2;F30A10.10,Triple mutant,1,-45.58%,,
510,daf-16;daf-2;F33H2.8,Triple mutant,1,-44.90%,,
511,daf-16;daf-2;F37C4.4,Triple mutant,1,-40.82%,,
512,daf-16;daf-2;F40F12.7,Triple mutant,1,-30.61%,,
513,daf-16;daf-2;F43D2.1,Triple mutant,1,-56.46%,,
514,daf-16;daf-2;F52C6.2,Triple mutant,1,-29.25%,,
515,daf-16;daf-2;F55B12.4,Triple mutant,1,-42.86%,,
516,daf-16;daf-2;F59A3.3,Triple mutant,1,-33.50%,,
517,daf-16;daf-2;F59C6.4,Triple mutant,1,-33.00%,,
518,daf-16;daf-2;F59C6.5,Triple mutant,1,-35.47%,,
519,daf-16;daf-2;fem-17;fer-15,4-mutant,1,-51.86% .. 95.29%,[est.],
520,daf-16;daf-2;fem-1;fer-15,4-mutant,5,-51.86% .. -210.35%,[est.],
521,daf-16;daf-2;fem-23;fer-15,4-mutant,2,-56.79% .. -230.35%,[est.],
522,daf-16;daf-2;fem-2;fer-15,4-mutant,1,-66.65% .. 35.29%,[est.],
523,daf-16;daf-2;gdi-1,Triple mutant,1,-36.05%,,
524,daf-16;daf-2;glf-1,Triple mutant,1,-55.78%,,
525,daf-16;daf-2;H27M09.1,Triple mutant,1,-38.10%,,
526,daf-16;daf-2;his-71,Triple mutant,1,-31.97%,,
527,daf-16;daf-2;hpk-1,Triple mutant,1,-37.41%,,
528,daf-16;daf-2;hsf-1,Triple mutant,1,-63.27%,,
529,daf-16;daf-2;K01C8.6,Triple mutant,1,-33.99%,,
530,daf-16;daf-2;K11B4.1,Triple mutant,1,-34.98%,,
531,daf-16;daf-2;K11D12.9,Triple mutant,1,-30.61%,,
532,daf-16;daf-2;let-653,Triple mutant,1,-36.73%,,
533,daf-16;daf-2;lmn-1,Triple mutant,1,-41.50%,,
534,daf-16;daf-2;lsm-4,Triple mutant,1,-41.50%,,
535,daf-16;daf-2;lsm-7,Triple mutant,1,-39.46%,,
536,daf-16;daf-2;M03F4.7,Triple mutant,1,-43.54%,,
537,daf-16;daf-2;M05B5.2,Triple mutant,1,-62.59%,,
538,daf-16;daf-2;M57.2,Triple mutant,1,-38.10%,,
539,daf-16;daf-2;mag-1,Triple mutant,1,-36.73%,,
540,daf-16;daf-2;mcm-2,Triple mutant,1,-31.29%,,
541,daf-16;daf-2;mdh-1,Triple mutant,1,-34.01%,,
542,daf-16;daf-2;mep-1,Triple mutant,1,-42.86%,,
543,daf-16;daf-2;mxl-2,Triple mutant,1,-51.70%,,
544,daf-16;daf-2;npp-2,Triple mutant,1,-47.62%,,
545,daf-16;daf-2;npp-3,Triple mutant,1,-40.82%,,
546,daf-16;daf-2;nsh-1,Triple mutant,1,-48.30%,,
547,daf-16;daf-2;ntl-3,Triple mutant,1,-38.10%,,
548,daf-16;daf-2;pep-2,Triple mutant,1,-10.91%,,
549,daf-16;daf-2;pnk-1,Triple mutant,1,-45.58%,,
550,daf-16;daf-2;ptr-23,Triple mutant,1,-33.33%,,
551,daf-16;daf-2;R12B2.6,Triple mutant,1,-27.89%,,
552,daf-16;daf-2;R53.4,Triple mutant,1,-35.96%,,
553,daf-16;daf-2;rab-7,Triple mutant,1,-45.58%,,
554,daf-16;daf-2;rrf-3,Triple mutant,4,-23.28%,,
555,daf-16;daf-2;rsks-1,Triple mutant,7,-10.40% ..  -7.09%,,
556,daf-16;daf-2;sdc-2,Triple mutant,1,-48.30%,,
557,daf-16;daf-2;sea-2,Triple mutant,1,-24.28%,,
558,daf-16;daf-2;skn-1,Triple mutant,1,-29.18%,,
559,daf-16;daf-2;smn-1,Triple mutant,1,-42.18%,,
560,daf-16;daf-2;spl-1,Triple mutant,1,-44.90%,,
561,daf-16;daf-2;T14G10.1,Triple mutant,1,-39.46%,,
562,daf-16;daf-2;T19B10.2,Triple mutant,1,-53.06%,,
563,daf-16;daf-2;T22B11.2,Triple mutant,1,-36.73%,,
564,daf-16;daf-2;T27F7.1,Triple mutant,1,-51.70%,,
565,daf-16;daf-2;tag-249,Triple mutant,1,-63.95%,,
566,daf-16;daf-2;tag-318,Triple mutant,1,-39.46%,,
567,daf-16;daf-2;tag-332,Triple mutant,1,-27.89%,,
568,daf-16;daf-2;tlf-1,Triple mutant,1,-33.33%,,
569,daf-16;daf-2;top-1,Triple mutant,1,-27.89%,,
570,daf-16;daf-2;ufd-1,Triple mutant,1,-61.90%,,
571,daf-16;daf-2;ulp-1,Triple mutant,1,-41.50%,,
572,daf-16;daf-2;vps-16,Triple mutant,1,-38.10%,,
573,daf-16;daf-2;vrk-1,Triple mutant,1,-41.50%,,
574,daf-16;daf-2;W01B11.3,Triple mutant,1,-34.48%,,
575,daf-16;daf-2;W04G3.2,Triple mutant,1,-53.06%,,
576,daf-16;daf-2;W06E11.4,Triple mutant,1,-35.37%,,
577,daf-16;daf-2;wip-1,Triple mutant,1,-17.01%,,
578,daf-16;daf-2;wwp-1,Triple mutant,1,-36.73%,,
579,daf-16;daf-2;Y39C12A.2,Triple mutant,1,-61.22%,,
580,daf-16;daf-2;Y39G10AL.3,Triple mutant,1,-44.22%,,
581,daf-16;daf-2;Y39G10AR.8,Triple mutant,1,-35.96%,,
582,daf-16;daf-2;Y42G9A.4,Triple mutant,1,-31.29%,,
583,daf-16;daf-2;Y47G6A.10,Triple mutant,1,-33.99%,,
584,daf-16;daf-2;Y47G6A.18,Triple mutant,1,-41.50%,,
585,daf-16;daf-2;Y48G1A.4,Triple mutant,1,-35.47%,,
586,daf-16;daf-2;Y54G2A.31,Triple mutant,1,-31.29%,,
587,daf-16;daf-2;Y55F3AM.3,Triple mutant,1,-37.41%,,
588,daf-16;daf-2;Y57A10A.19,Triple mutant,1,-44.90%,,
589,daf-16;daf-2;Y57G11C.13,Triple mutant,1,-37.41%,,
590,daf-16;daf-2;Y59A8B.2,Triple mutant,1,-48.98%,,
591,daf-16;daf-2;Y61A9LA.5,Triple mutant,1,-37.41%,,
592,daf-16;daf-2;Y65B4A.3,Triple mutant,1,-56.46%,,
593,daf-16;daf-2;Y77E11A.7,Triple mutant,1,-41.50%,,
594,daf-16;daf-2;ZC250.3,Triple mutant,1,-50.34%,,
595,daf-16;daf-2;ZK973.10,Triple mutant,1,-34.98%,,
596,daf-16;daf-7,Double mutant,4,-28.92% ..  -3.70%,,
597,daf-16;daf-9,Double mutant,1,12.55%,,
598,daf-16;ddl-1,Double mutant,2,-63.46% .. -257.41%,[est.],
599,daf-16;ddl-2,Double mutant,1,-58.24% .. 69.41%,[est.],
600,daf-16;ddl-3,Double mutant,2,-64.04% .. -259.76%,[est.],
601,daf-16;dld-1;rrf-3,Triple mutant,1,68.46%,,
602,daf-16;dpy-20,Double mutant,1,-13.49%,,
603,daf-16;drp-1,Double mutant,1,-37.01%,,
604,daf-16;drr-1,Double mutant,1,-55.63% .. 80.0%,[est.],
605,daf-16;drr-2,Double mutant,1,-57.66% .. 71.76%,[est.],
606,daf-16;eak-3,Double mutant,1,-36.24%,,
607,daf-16;eak-7,Double mutant,2,-24.49% ..  -20.71%,,
608,daf-16;eif-1,Double mutant,1,-7.56%,,
609,daf-16;eif-1;skn-1,Triple mutant,1,-27.41%,,
610,daf-16;elt-6;rrf-3,Triple mutant,1,-2.73%,,
611,daf-16;epc-1;rrf-3,Triple mutant,1,-30.15%,,
612,daf-16;ets-4,Double mutant,1,-16.00%,,
613,daf-16;F07A5.1;rrf-3,Triple mutant,1,-68.74% .. 26.82%,[est.],
614,daf-16;F08B4.7;rrf-3,Triple mutant,1,9.21%,,
615,daf-16;F09F7.5;rrf-3,Triple mutant,1,-68.3% .. 28.59%,[est.],
616,daf-16;F13B6.1;rrf-3,Triple mutant,1,40.92%,,
617,daf-16;F13G3.7,Double mutant,1,-29.17%,,
618,daf-16;F15E6.1;rrf-3,Triple mutant,1,-69.72% .. 22.82%,[est.],
619,daf-16;F21H12.1;rrf-3,Triple mutant,1,-74.04% .. 5.29%,[est.],
620,daf-16;F26E4.6,Double mutant,1,15.10%,,
621,daf-16;F26E4.9,Double mutant,1,31.77%,,
622,daf-16;F28B3.5,Double mutant,1,-38.54%,,
623,daf-16;F42A6.1;rrf-3,Triple mutant,1,-9.80%,,
624,daf-16;F49C12.9;rrf-3,Triple mutant,1,-11.51%,,
625,daf-16;F54C4.2;rrf-3,Triple mutant,1,-63.95% .. 46.24%,[est.],
626,daf-16;F54H12.1;rrf-3,Triple mutant,1,-74.51% .. 3.41%,[est.],
627,daf-16;F55B11.1;rrf-3,Triple mutant,1,-70.36% .. 20.24%,[est.],
628,daf-16;F57B10.3,Double mutant,1,-35.94%,,
629,daf-16;faah-1,Double mutant,3,-47.8% .. -193.88%,[est.],
630,daf-16;fasn-1,Double mutant,1,-40.39%,,
631,daf-16;fem-1;fer-15,Triple mutant,3,-75.93% .. -308.0%,[est.],
632,daf-16;fer-15,Double mutant,1,-70.71% .. 18.82%,[est.],
633,daf-16;fer-15;shc-1,Triple mutant,1,-70.42% .. 20.0%,[est.],
634,daf-16;flr-4,Double mutant,2,0.46% ..  19.73%,,
635,daf-16;frh-1,Double mutant,1,-46.91%,,
636,daf-16;ftt-1,Double mutant,2,-54.21% ..  -25.93%,,
637,daf-16;ftt-2,Double mutant,4,-62.11% ..  -6.35%,,
638,daf-16;gcy-35;npr-1,Triple mutant,3,8.66% ..  12.81%,,
639,daf-16;glp-1,Double mutant,39,-27.18% ..  -13.44%,,
640,daf-16;glp-1;nhr-80,Triple mutant,4,-82.6% .. -335.06%,[est.],
641,daf-16;gpa-1,Double mutant,1,8.57%,,
642,daf-16;gpa-11,Double mutant,1,-18.86%,,
643,daf-16;gpc-1,Double mutant,1,1.71%,,
644,daf-16;gpi-1,Double mutant,2,-59.4% .. -240.94%,[est.],
645,daf-16;grl-19;rrf-3,Triple mutant,1,-18.16%,,
646,daf-16;gro-1,Double mutant,1,19.46%,,
647,daf-16;hcf-1,Double mutant,10,-42.47% ..  -16.03%,,
648,daf-16;hif-1,Double mutant,16,-26.00% ..  5.23%,,
649,daf-16;hsf-1,Double mutant,2,-56.28% ..  -37.04%,,
650,daf-16;ife-2,Double mutant,5,-17.58% ..  24.73%,,
651,daf-16;ifg-1,Double mutant,9,-33.46% ..  0.25%,,
652,daf-16;ifg-1;skn-1,Triple mutant,1,-20.51%,,
653,daf-16;ifta-2,Double mutant,1,5.22%,,
654,daf-16;iftb-1,Double mutant,3,-64.33% .. -260.94%,[est.],
655,daf-16;inx-8;rrf-3,Triple mutant,1,-14.49%,,
656,daf-16;inx-9;rrf-3,Triple mutant,1,-18.67%,,
657,daf-16;jnk-1,Double mutant,1,-17.61%,,
658,daf-16;K01C8.7,Double mutant,1,-14.58%,,
659,daf-16;K04G7.4;rrf-3,Triple mutant,1,-73.84% .. 6.12%,[est.],
660,daf-16;K07H8.8;rrf-3,Triple mutant,1,-19.69%,,
661,daf-16;K08D10.7;rrf-3,Triple mutant,1,-69.75% .. 22.71%,[est.],
662,daf-16;K08E3.5;rrf-3,Triple mutant,1,-71.93% .. 13.88%,[est.],
663,daf-16;K10B4.3;rrf-3,Triple mutant,1,-71.55% .. 15.41%,[est.],
664,daf-16;K11D12.1;rrf-3,Triple mutant,1,-69.75% .. 22.71%,[est.],
665,daf-16;K12H4.5;rrf-3,Triple mutant,1,7.89%,,
666,daf-16;let-363,Double mutant,4,-55.34% .. -224.47%,[est.],
667,daf-16;let-711,Double mutant,1,-40.39%,,
668,daf-16;lin-14,Double mutant,2,-22.69% ..  -5.62%,,
669,daf-16;lin-4,Double mutant,1,-61.88%,,
670,daf-16;maoc-1,Double mutant,2,-59.4% .. -240.94%,[est.],
671,daf-16;mars-1;rrf-3,Triple mutant,1,16.11%,,
672,daf-16;mdt-15,Double mutant,1,-40.39%,,
673,daf-16;mekk-3,Double mutant,2,28.17% ..  47.07%,,
674,daf-16;mpk-1,Double mutant,1,-66.94% .. 34.12%,[est.],
675,daf-16;mrlp-1;rrf-3,Triple mutant,1,1.96%,,
676,daf-16;mxl-1,Double mutant,2,1.48% ..  2.96%,,
677,daf-16;mxl-2,Double mutant,2,0.74% ..  5.19%,,
678,daf-16;nhr-49,Double mutant,2,-41.87% ..  -5.95%,,
679,daf-16;nmur-1,Double mutant,1,0.85%,,
680,daf-16;npr-1,Double mutant,3,2.59% ..  15.74%,,
681,daf-16;nuo-2,Double mutant,1,-60.27% .. 61.18%,[est.],
682,daf-16;nuo-3,Double mutant,1,-47.8% .. 111.76%,[est.],
683,daf-16;nuo-4,Double mutant,1,-40.55% .. 141.18%,[est.],
684,daf-16;nuo-5,Double mutant,1,-56.79% .. 75.29%,[est.],
685,daf-16;ocr-2,Double mutant,3,-48.96% ..  -22.92%,,
686,daf-16;odr-3,Double mutant,1,-22.29%,,
687,daf-16;oga-1,Double mutant,1,-6.92%,,
688,daf-16;ogdh-1;rrf-3,Triple mutant,1,66.41%,,
689,daf-16;ogt-1,Double mutant,1,-19.50%,,
690,daf-16;osm-3,Double mutant,1,2.13%,,
691,daf-16;osm-5,Double mutant,1,-0.53%,,
692,daf-16;osm-6,Double mutant,1,-60.19%,,
693,daf-16;par-5,Double mutant,2,-30.00% ..  -28.57%,,
694,daf-16;pat-4,Double mutant,1,-55.05% .. 82.35%,[est.],
695,daf-16;pat-4;rrf-3,Triple mutant,1,5.92%,,
696,daf-16;pat-6,Double mutant,1,-57.66% .. 71.76%,[est.],
697,daf-16;pdk-1,Double mutant,2,-20.11% ..  -11.76%,,
698,daf-16;pep-2,Double mutant,2,-32.73% ..  -31.62%,,
699,daf-16;pkc-2,Double mutant,4,-26.26% ..  -13.57%,,
700,daf-16;pmq-1,Double mutant,1,-22.18%,,
701,daf-16;pod-1;rrf-3,Triple mutant,1,-40.81%,,
702,daf-16;prmt-1,Double mutant,6,-68.1% .. -276.24%,[est.],
703,daf-16;qars-1;rrf-3,Triple mutant,1,-0.43%,,
704,daf-16;R05A10.5;rrf-3,Triple mutant,1,-69.34% .. 24.35%,[est.],
705,daf-16;R08E3.3;rrf-3,Triple mutant,1,-72.22% .. 12.71%,[est.],
706,daf-16;rab-10,Double mutant,1,-58.24% .. 69.41%,[est.],
707,daf-16;raga-1,Double mutant,6,-32.32% ..  -14.43%,,
708,daf-16;raga-1;skn-1,Triple mutant,3,-19.87% ..  -14.98%,,
709,daf-16;ragc-1,Double mutant,4,-16.89% ..  -5.61%,,
710,daf-16;ral-1;rrf-3,Triple mutant,1,-14.44%,,
711,daf-16;rha-2,Double mutant,1,-53.02% .. 90.59%,[est.],
712,daf-16;rheb-1,Double mutant,4,-12.74% ..  -11.24%,,
713,daf-16;rict-1,Double mutant,2,-49.29% ..  -49.14%,,
714,daf-16;ril-1,Double mutant,1,-50.99% .. 98.82%,[est.],
715,daf-16;ril-2,Double mutant,1,-53.6% .. 88.24%,[est.],
716,daf-16;rle-1,Double mutant,3,-17.80% ..  32.98%,,
