,"All mutants (1770 results, without single mutants)",Mutant type,No. experiments,Change in average lifespan,Unnamed: 4,Epistasis
717,daf-16;rpl-19,Double mutant,1,-59.11% .. 65.88%,[est.],
718,daf-16;rpl-4,Double mutant,1,-58.24% .. 69.41%,[est.],
719,daf-16;rps-15,Double mutant,5,-59.4% .. -240.94%,[est.],
720,daf-16;rps-22,Double mutant,3,-58.82% .. -238.59%,[est.],
721,daf-16;rps-23;rrf-3,Triple mutant,1,46.21%,,
722,daf-16;rrf-3,Double mutant,13,-12.62%,,
723,daf-16;rrf-3;scl-8,Triple mutant,1,4.35%,,
724,daf-16;rrf-3;set-26,Triple mutant,1,-2.98%,,
725,daf-16;rrf-3;spe-26,Triple mutant,1,-18.33%,,
726,daf-16;rrf-3;T05A1.5,Triple mutant,1,-12.79%,,
727,daf-16;rrf-3;T05G5.10,Triple mutant,1,-70.45% .. 19.88%,[est.],
728,daf-16;rrf-3;T06G6.4,Triple mutant,1,-77.99% .. -10.71%,[est.],
729,daf-16;rrf-3;T20H4.5,Triple mutant,1,-71.37% .. 16.12%,[est.],
730,daf-16;rrf-3;T28A8.6,Triple mutant,1,-6.24%,,
731,daf-16;rrf-3;T28D6.4,Triple mutant,1,-9.79%,,
732,daf-16;rrf-3;tes-1,Triple mutant,1,5.54%,,
733,daf-16;rrf-3;tkt-1,Triple mutant,1,6.31%,,
734,daf-16;rrf-3;ttr-5,Triple mutant,1,-23.13%,,
735,daf-16;rrf-3;W03G1.5,Triple mutant,1,8.78%,,
736,daf-16;rrf-3;W05B2.5,Triple mutant,1,-66.39% .. 36.35%,[est.],
737,daf-16;rrf-3;Y119D3_446.d,Triple mutant,1,-21.31%,,
738,daf-16;rrf-3;Y39F10C.1,Triple mutant,1,-78.77% .. -13.88%,[est.],
739,daf-16;rrf-3;Y39H10A_224.b,Triple mutant,1,-69.78% .. 22.59%,[est.],
740,daf-16;rrf-3;Y43H11_160.a,Triple mutant,1,-66.24% .. 36.94%,[est.],
741,daf-16;rrf-3;Y45F10D.8,Triple mutant,1,-10.14%,,
742,daf-16;rrf-3;Y46H3C_13.a,Triple mutant,1,-70.65% .. 19.06%,[est.],
743,daf-16;rrf-3;Y50D4A_25.a,Triple mutant,1,-70.1% .. 21.29%,[est.],
744,daf-16;rrf-3;Y54E5A.7,Triple mutant,1,-74.45% .. 3.65%,[est.],
745,daf-16;rrf-3;Y56A3A.9,Triple mutant,1,-69.63% .. 23.18%,[est.],
746,daf-16;rrf-3;Y66A7A1,Triple mutant,1,-3.63%,,
747,daf-16;rrf-3;Y69A2A_2991.c,Triple mutant,1,3.50%,,
748,daf-16;rrf-3;Y71H2_380.a,Triple mutant,1,-69.75% .. 22.71%,[est.],
749,daf-16;rrf-3;Y71H2_388.câ€ ,Triple mutant,1,55.80%,,
750,daf-16;rrf-3;Y71H2_390.d,Triple mutant,1,-13.18%,,
751,daf-16;rrf-3;Y75B8A.13,Triple mutant,1,-69.81% .. 22.47%,[est.],
752,daf-16;rrf-3;Y75B8A.33,Triple mutant,1,-71.78% .. 14.47%,[est.],
753,daf-16;rrf-3;ZC64.3,Triple mutant,1,-73.49% .. 7.53%,[est.],
754,daf-16;rrf3,Double mutant,2,-23.38% ..  -18.39%,,
755,daf-16;sams-1,Double mutant,1,-52.44% .. 92.94%,[est.],
756,daf-16;sca-1,Double mutant,1,-37.44%,,
757,daf-16;sea-2,Double mutant,1,-30.06%,,
758,daf-16;sgk-1,Double mutant,7,-36.71% ..  7.43%,,
759,daf-16;shc-1,Double mutant,2,-34.42% ..  -22.92%,,
760,daf-16;sinh-1,Double mutant,2,-59.69% .. -242.12%,[est.],
761,daf-16;sir-2.1,Double mutant,7,-43.71% ..  -25.00%,,
762,daf-16;sir-2.1;unc-13,Triple mutant,2,5.68% ..  19.89%,,
763,daf-16;sir-2.1;unc-51,Triple mutant,1,-63.17% .. 49.41%,[est.],
764,daf-16;skn-1,Double mutant,9,-50.64% ..  -7.53%,,
765,daf-16;smk-1,Double mutant,1,-42.08%,,
766,daf-16;sod-1,Double mutant,4,-59.69% .. -242.12%,[est.],
767,daf-16;sod-2,Double mutant,1,-15.00%,,
768,daf-16;T02H6.11,Double mutant,1,22.40%,,
769,daf-16;T06D8.6,Double mutant,1,-14.06%,,
770,daf-16;tax-4,Double mutant,1,-7.98%,,
771,daf-16;tax-6,Double mutant,2,-17.31% ..  19.05%,,
772,daf-16;tcer-1,Double mutant,5,-21.33% ..  2.42%,,
773,daf-16;trpa-1,Double mutant,6,-15.51% ..  -11.40%,,
774,daf-16;ttr-1,Double mutant,2,-60.56% .. -245.65%,[est.],
775,daf-16;tub-1,Double mutant,1,-18.57%,,
776,daf-16;unc-13,Double mutant,2,22.73% ..  35.80%,,
777,daf-16;unc-31,Double mutant,3,-39.20% ..  -13.64%,,
778,daf-16;unc-51,Double mutant,1,-62.59% .. 51.76%,[est.],
779,daf-16;unc-64,Double mutant,1,-9.09%,,
780,daf-16;unc-70,Double mutant,1,-37.93%,,
781,daf-16;utx-1,Double mutant,5,-43.97% ..  -8.79%,,
782,daf-16;vang-1,Double mutant,2,5.14% ..  17.65%,,
783,daf-16;vhl-1,Double mutant,3,-5.56% ..  5.56%,,
784,daf-16;W09C5.8,Double mutant,1,34.90%,,
785,daf-16;wwp-1,Double mutant,2,8.76% ..  16.02%,,
786,daf-18;daf-2,Double mutant,7,-15.79% ..  8.33%,,
787,daf-18;daf-23,Double mutant,1,-16.76% .. 237.65%,[est.],
788,daf-18;rrf-3,Double mutant,1,-71.29% .. 16.47%,[est.],
789,daf-1;hif-1,Double mutant,1,161.44%,,
790,daf-22;mekk-3,Double mutant,2,-5.31% ..  -1.53%,,
791,daf-28;ins-6,Double mutant,1,18.46%,,
792,daf-2;daf-2,Double mutant,6,93.70% ..  200.26%,,
793,daf-2;daf-20,Double mutant,1,163.16%,,
794,daf-2;daf-2;fem-20;fer-15,4-mutant,1,17.75% .. 377.65%,[est.],
795,daf-2;daf-2;fem-23;fer-15,4-mutant,1,-9.51% .. 267.06%,[est.],
796,daf-2;daf-2;fem-3;fer-15,4-mutant,1,-59.69% .. 63.53%,[est.],
797,daf-2;daf-2;mxl-1,Triple mutant,1,250.00%,,
798,daf-2;daf-2;rrf-3,Triple mutant,1,31.67% .. 434.12%,[est.],
799,daf-2;daf-2;skn-1,Triple mutant,2,-21.22% ..  13.10%,,
800,daf-2;daf-3,Double mutant,7,16.40% ..  177.38%,,
801,daf-2;daf-3;mekk-3,Triple mutant,2,290.52% ..  294.08%,,
802,daf-2;daf-9,Double mutant,1,41.13%,,
803,daf-2;dao-3;fem-22;fer-15,4-mutant,1,3.83% .. 321.18%,[est.],
804,daf-2;dct-5,Double mutant,1,-30.97% .. 180.0%,[est.],
805,daf-2;ddl-1,Double mutant,1,-23.14% .. 211.76%,[est.],
806,daf-2;ddl-2,Double mutant,1,-18.5% .. 230.59%,[est.],
807,daf-2;ddl-3,Double mutant,1,-24.3% .. 207.06%,[est.],
808,daf-2;dev-1,Double mutant,1,98.20%,,
809,daf-2;dod-10;fem-23;fer-15,4-mutant,1,-26.04% .. 200.0%,[est.],
810,daf-2;dod-11;dod-14;fem-23;fer-15,5-mutant,1,-25.75% .. 201.18%,[est.],
811,daf-2;dod-11;fem-14;fer-15,4-mutant,1,-34.45% .. 165.88%,[est.],
812,daf-2;dod-11;fem-23;fer-15,4-mutant,1,-18.5% .. 230.59%,[est.],
813,daf-2;dod-12;fem-23;fer-15,4-mutant,1,-24.88% .. 204.71%,[est.],
814,daf-2;dod-13;fem-16;fer-15,4-mutant,1,0.64% .. 308.24%,[est.],
815,daf-2;dod-13;fem-23;fer-15,4-mutant,2,-40.55% .. -164.47%,[est.],
816,daf-2;dod-14;fem-23;fer-15,4-mutant,2,-24.88% .. -100.94%,[est.],
817,daf-2;dod-15;fem-23;fer-15,4-mutant,1,-20.53% .. 222.35%,[est.],
818,daf-2;dod-16;fem-23;fer-15,4-mutant,1,-11.25% .. 260.0%,[est.],
819,daf-2;dod-16;fem-9;fer-15,4-mutant,1,-12.99% .. 252.94%,[est.],
820,daf-2;dod-1;fem-23;fer-15,4-mutant,1,-42.58% .. 132.94%,[est.],
821,daf-2;dod-1;fem-5;fer-15,4-mutant,1,-55.34% .. 81.18%,[est.],
822,daf-2;dod-2;fem-23;fer-15,4-mutant,1,-22.56% .. 214.12%,[est.],
823,daf-2;dod-2;fem-4;fer-15,4-mutant,1,-46.64% .. 116.47%,[est.],
824,daf-2;dod-2;rrf-3,Triple mutant,1,3.25% .. 318.82%,[est.],
825,daf-2;dod-3;fem-13;fer-15,4-mutant,1,-42.58% .. 132.94%,[est.],
826,daf-2;dod-3;fem-23;fer-15,4-mutant,1,-16.76% .. 237.65%,[est.],
827,daf-2;dod-4;fem-23;fer-15,4-mutant,1,-35.32% .. 162.35%,[est.],
828,daf-2;dod-5;fem-7;fer-15,4-mutant,1,-46.06% .. 118.82%,[est.],
829,daf-2;dod-6;fem-23;fer-15,4-mutant,3,-35.03% .. -142.12%,[est.],
830,daf-2;dod-7;fem-23;fer-15,4-mutant,1,-28.65% .. 189.41%,[est.],
831,daf-2;dod-8;fem-23;fer-15,4-mutant,1,-26.91% .. 196.47%,[est.],
832,daf-2;dod-9;fem-23;fer-15,4-mutant,1,-26.91% .. 196.47%,[est.],
833,daf-2;dox-1,Double mutant,6,18.01% ..  74.59%,,
834,daf-2;dpy-20,Double mutant,1,121.43%,,
835,daf-2;drp-1,Double mutant,2,165.59% ..  226.53%,,
836,daf-2;drr-1,Double mutant,1,-10.67% .. 262.35%,[est.],
837,daf-2;drr-2,Double mutant,2,19.2% .. 77.88%,[est.],
838,daf-2;dve-1;rsks-1,Triple mutant,3,-9.31% ..  14.21%,,
839,daf-2;eak-3,Double mutant,1,300.39%,,
840,daf-2;eat-2,Double mutant,2,89.95% ..  132.51%,,
841,daf-2;egl-27,Double mutant,4,58.71%,,
842,daf-2;egr-1,Double mutant,3,24.84% ..  60.54%,,
843,daf-2;elo-5,Double mutant,1,84.35%,,
844,daf-2;elt-1,Double mutant,3,76.03% ..  130.83%,,
845,daf-2;elt-2,Double mutant,3,2.74% ..  51.13%,,
846,daf-2;elt-3,Double mutant,6,0.68% ..  91.65%,,
847,daf-2;elt-5,Double mutant,3,-60.90% ..  -5.48%,,
848,daf-2;elt-6,Double mutant,3,47.26% ..  130.83%,,
849,daf-2;end-1,Double mutant,2,6.16% ..  103.01%,,
850,daf-2;end-3,Double mutant,2,58.22% ..  130.08%,,
851,daf-2;ets-4,Double mutant,1,118.05%,,
852,daf-2;F14B4.3,Double mutant,1,118.72%,,
853,daf-2;F26E4.4,Double mutant,1,111.82%,,
854,daf-2;F28D1.9,Double mutant,1,-18.37%,,
855,daf-2;F29G6.1,Double mutant,1,-23.72% .. 209.41%,[est.],
856,daf-2;F30A10.10,Double mutant,1,25.17%,,
857,daf-2;F30A10.6,Double mutant,1,53.74%,,
858,daf-2;F33H2.8,Double mutant,1,-40.82%,,
859,daf-2;F37C4.4,Double mutant,1,70.07%,,
860,daf-2;F40F12.7,Double mutant,1,35.37%,,
861,daf-2;F43D2.1,Double mutant,1,64.63%,,
862,daf-2;F52C6.2,Double mutant,1,42.86%,,
863,daf-2;F55B12.4,Double mutant,1,48.30%,,
864,daf-2;F55G11.2,Double mutant,1,-35.9% .. 160.0%,[est.],
865,daf-2;F59A3.3,Double mutant,1,113.30%,,
866,daf-2;F59C6.4,Double mutant,1,124.14%,,
867,daf-2;F59C6.5,Double mutant,1,148.28%,,
868,daf-2;faah-1,Double mutant,7,-27.49% .. -111.53%,[est.],
869,daf-2;fasn-1,Double mutant,1,49.26%,,
870,daf-2;fat-7;fem-12;fer-15,4-mutant,1,-41.71% .. 136.47%,[est.],
871,daf-2;fat-7;fem-23;fer-15,4-mutant,1,-26.33% .. 198.82%,[est.],
872,daf-2;fat-7;rrf-3,Triple mutant,1,8.47% .. 340.0%,[est.],
873,daf-2;fbp-1,Double mutant,2,41.82% .. 169.65%,[est.],
874,daf-2;fem-10;fer-15,Triple mutant,1,-26.91% .. 196.47%,[est.],
875,daf-2;fem-10;fer-15;mtl-1,4-mutant,1,-44.61% .. 124.71%,[est.],
876,daf-2;fem-11;fer-15,Triple mutant,1,-26.91% .. 196.47%,[est.],
877,daf-2;fem-11;fer-15;gei-7,4-mutant,1,-43.74% .. 128.24%,[est.],
878,daf-2;fem-12;fer-15,Triple mutant,1,-26.91% .. 196.47%,[est.],
879,daf-2;fem-13;fer-15,Triple mutant,1,-26.91% .. 196.47%,[est.],
880,daf-2;fem-14;fer-15,Triple mutant,1,-26.91% .. 196.47%,[est.],
881,daf-2;fem-15;fer-15,Triple mutant,1,11.08% .. 350.59%,[est.],
882,daf-2;fem-16;fer-15,Triple mutant,1,11.08% .. 350.59%,[est.],
883,daf-2;fem-17;fer-15,Triple mutant,1,11.08% .. 350.59%,[est.],
884,daf-2;fem-18;fer-15,Triple mutant,1,11.08% .. 350.59%,[est.],
885,daf-2;fem-18;fer-15;ins-18,4-mutant,1,4.41% .. 323.53%,[est.],
886,daf-2;fem-19;fer-15,Triple mutant,1,11.08% .. 350.59%,[est.],
887,daf-2;fem-1;fer-15,Triple mutant,13,57.36% ..  74.87%,,
888,daf-2;fem-1;fer-15;ire-1,4-mutant,3,-44.32% .. -179.76%,[est.],
889,daf-2;fem-1;fer-15;lys-7,4-mutant,1,-46.93% .. 115.29%,[est.],
890,daf-2;fem-1;fer-15;vps-34,4-mutant,4,-33.87% .. -137.41%,[est.],
891,daf-2;fem-1;fer-15;xbp-1,4-mutant,2,-48.09% .. -195.06%,[est.],
892,daf-2;fem-20;fer-15,Triple mutant,1,11.08% .. 350.59%,[est.],
893,daf-2;fem-21;fer-15,Triple mutant,1,11.08% .. 350.59%,[est.],
894,daf-2;fem-21;fer-15;sod-3,4-mutant,1,2.96% .. 317.65%,[est.],
895,daf-2;fem-22;fer-15,Triple mutant,1,11.08% .. 350.59%,[est.],
896,daf-2;fem-23;fer-15,Triple mutant,3,-17.92% .. -72.71%,[est.],
897,daf-2;fem-23;fer-15;gcp-1,4-mutant,1,-25.75% .. 201.18%,[est.],
898,daf-2;fem-23;fer-15;ges-1,4-mutant,1,-25.17% .. 203.53%,[est.],
899,daf-2;fem-23;fer-15;gpd-2,4-mutant,1,-22.56% .. 214.12%,[est.],
900,daf-2;fem-23;fer-15;hsp-12.6,4-mutant,1,-25.46% .. 202.35%,[est.],
901,daf-2;fem-23;fer-15;hsp-16,4-mutant,1,-24.59% .. 205.88%,[est.],
902,daf-2;fem-23;fer-15;hsp-16.11,4-mutant,1,-33.29% .. 170.59%,[est.],
903,daf-2;fem-23;fer-15;hsp-16.2,4-mutant,1,-25.75% .. 201.18%,[est.],
904,daf-2;fem-23;fer-15;hsp-16.49,4-mutant,1,-34.45% .. 165.88%,[est.],
905,daf-2;fem-23;fer-15;ins-18,4-mutant,2,-26.62% .. -108.0%,[est.],
906,daf-2;fem-23;fer-15;ins-21,4-mutant,1,-24.88% .. 204.71%,[est.],
907,daf-2;fem-23;fer-15;ins-7,4-mutant,1,-28.94% .. 188.24%,[est.],
908,daf-2;fem-23;fer-15;lys-7,4-mutant,2,-34.45% .. -139.76%,[est.],
909,daf-2;fem-23;fer-15;mdl-1,4-mutant,1,-25.17% .. 203.53%,[est.],
910,daf-2;fem-23;fer-15;mtl-1,4-mutant,1,-25.46% .. 202.35%,[est.],
911,daf-2;fem-23;fer-15;sip-1,4-mutant,1,-26.33% .. 198.82%,[est.],
912,daf-2;fem-23;fer-15;sod-3,4-mutant,1,-20.82% .. 221.18%,[est.],
913,daf-2;fem-23;fer-15;spp-1,4-mutant,1,-30.68% .. 181.18%,[est.],
914,daf-2;fem-2;fer-15,Triple mutant,1,-26.91% .. 196.47%,[est.],
915,daf-2;fem-3;fer-15,Triple mutant,1,-26.91% .. 196.47%,[est.],
916,daf-2;fem-4;fer-15,Triple mutant,1,-26.91% .. 196.47%,[est.],
917,daf-2;fem-5;fer-15,Triple mutant,1,-26.91% .. 196.47%,[est.],
918,daf-2;fem-6;fer-15,Triple mutant,1,-26.91% .. 196.47%,[est.],
919,daf-2;fem-7;fer-15,Triple mutant,1,-26.91% .. 196.47%,[est.],
920,daf-2;fem-8;fer-15,Triple mutant,1,-26.91% .. 196.47%,[est.],
921,daf-2;fem-8;fer-15;hsp-12.6,4-mutant,1,-44.61% .. 124.71%,[est.],
922,daf-2;fem-9;fer-15,Triple mutant,1,-26.91% .. 196.47%,[est.],
923,daf-2;fer-15,Double mutant,1,-7.77% .. 274.12%,[est.],
924,daf-2;fer-15;shc-1,Triple mutant,1,-21.11% .. 220.0%,[est.],
925,daf-2;flr-4,Double mutant,1,238.42%,,
926,daf-2;ftt-1,Double mutant,4,-36.84% ..  34.39%,,
927,daf-2;ftt-2,Double mutant,9,-55.79% ..  208.16%,,
928,daf-2;gcp-1;rrf-3,Triple mutant,1,6.15% .. 330.59%,[est.],
929,daf-2;gcy-35;npr-1,Triple mutant,3,62.14% ..  147.58%,,
930,daf-2;gdi-1,Double mutant,1,58.50%,,
931,daf-2;gld-1,Double mutant,2,118.33% ..  125.82%,,
932,daf-2;gld-1;rsks-1,Triple mutant,2,175.56% ..  186.26%,,
933,daf-2;glf-1,Double mutant,1,-31.97%,,
934,daf-2;glp-1,Double mutant,3,191.41% ..  193.85%,,
935,daf-2;glp-1;rsks-1,Triple mutant,2,213.28% ..  234.62%,,
936,daf-2;glp-4,Double mutant,1,135.46%,,
937,daf-2;gpa-1,Double mutant,1,110.56%,,
938,daf-2;gpa-11,Double mutant,2,88.33% ..  162.78%,,
939,daf-2;gpa-11;odr-3,Triple mutant,2,147.22% ..  170.00%,,
940,daf-2;gpd-2,Double mutant,2,36.31% .. 147.29%,[est.],
941,daf-2;gpdh-1;gpdh-2,Triple mutant,1,140.65%,,
942,daf-2;gpi-1,Double mutant,1,0.06% .. 305.88%,[est.],
943,daf-2;gro-1,Double mutant,1,117.40%,,
944,daf-2;H27M09.1,Double mutant,1,78.23%,,
945,daf-2;hcf-1,Double mutant,3,108.28% ..  174.83%,,
946,daf-2;hif-1,Double mutant,2,70.00% ..  157.35%,,
947,daf-2;his-71,Double mutant,1,83.67%,,
948,daf-2;hpk-1,Double mutant,1,55.10%,,
949,daf-2;hsf-1,Double mutant,6,-61.93% ..  45.91%,,
950,daf-2;hsf-1;rsks-1,Triple mutant,5,-49.24% ..  -32.80%,,
951,daf-2;ifg-1,Double mutant,4,120.69%,,
952,daf-2;ifta-2,Double mutant,1,47.81%,,
953,daf-2;iftb-1,Double mutant,3,-21.4% .. -86.82%,[est.],
954,daf-2;ins-18,Double mutant,2,75.00% ..  216.00%,,
955,daf-2;ire-1,Double mutant,15,-6.44% ..  82.80%,,
956,daf-2;ire-1;xbp-1,Triple mutant,2,-38.81% .. -157.41%,[est.],
957,daf-2;isp-1,Double mutant,3,102.46% ..  115.82%,,
958,daf-2;isw-1,Double mutant,3,60.81% ..  108.12%,,
959,daf-2;jnk-1,Double mutant,1,202.84%,,
960,daf-2;K01C8.6,Double mutant,1,129.56%,,
961,daf-2;K04C2.5,Double mutant,1,-17.34% .. 235.29%,[est.],
962,daf-2;K10H10.4,Double mutant,1,-33.58% .. 169.41%,[est.],
963,daf-2;K11B4.1,Double mutant,1,115.76%,,
964,daf-2;K11D12.9,Double mutant,1,85.03%,,
965,daf-2;kri-1,Double mutant,3,-12.12% .. -49.18%,[est.],
966,daf-2;kri-1;rrf-3,Triple mutant,2,-27.2% .. -110.35%,[est.],
967,daf-2;kri-1;rsks-1,Triple mutant,2,16.3% .. 66.12%,[est.],
968,daf-2;let-363,Double mutant,3,-13.57% .. -55.06%,[est.],
969,daf-2;let-60,Double mutant,6,-21.59% ..  55.68%,,
970,daf-2;let-653,Double mutant,1,74.83%,,
971,daf-2;let-711,Double mutant,1,70.94%,,
972,daf-2;lgg-1,Double mutant,2,78.97% ..  79.45%,,
973,daf-2;lgg-2,Double mutant,2,91.59% ..  96.80%,,
974,daf-2;lgg-3,Double mutant,2,82.65% ..  117.76%,,
975,daf-2;lin-14,Double mutant,2,43.98% ..  158.43%,,
976,daf-2;lin-23,Double mutant,29,-17.18% ..  17.39%,,
977,daf-2;lin-4,Double mutant,1,-13.75%,,
978,daf-2;lipl-4,Double mutant,1,54.82%,,
979,daf-2;lmn-1,Double mutant,1,56.46%,,
980,daf-2;lsm-4,Double mutant,1,95.92%,,
981,daf-2;lsm-7,Double mutant,1,88.44%,,
982,daf-2;M03F4.7,Double mutant,1,104.08%,,
983,daf-2;M05B5.2,Double mutant,1,38.78%,,
984,daf-2;M57.2,Double mutant,1,55.78%,,
985,daf-2;mag-1,Double mutant,1,68.71%,,
986,daf-2;maoc-1,Double mutant,1,-15.31% .. 243.53%,[est.],
987,daf-2;mcm-2,Double mutant,1,72.11%,,
988,daf-2;mdh-1,Double mutant,1,118.37%,,
989,daf-2;mdt-15,Double mutant,1,47.78%,,
990,daf-2;med-1,Double mutant,3,52.05% ..  163.16%,,
991,daf-2;mekk-3,Double mutant,6,108.59% ..  267.93%,,
992,daf-2;mep-1,Double mutant,1,57.82%,,
993,daf-2;mes-4,Double mutant,3,59.49% ..  119.47%,,
994,daf-2;mml-1,Double mutant,1,83.78%,,
995,daf-2;mpk-1,Double mutant,1,17.92% .. 378.35%,[est.],
996,daf-2;mxl-1,Double mutant,1,225.00%,,
997,daf-2;mxl-2,Double mutant,3,40.00% ..  86.49%,,
998,daf-2;nhl-1,Double mutant,1,105.76%,,
999,daf-2;nhr-49,Double mutant,8,-5.78% ..  150.89%,,
1000,daf-2;nhr-8,Double mutant,1,27.65%,,
1001,daf-2;nhr-80,Double mutant,2,13.11% .. 53.18%,[est.],
1002,daf-2;nit-1,Double mutant,1,-37.35% .. 154.12%,[est.],
1003,daf-2;nmur-1,Double mutant,2,106.78% ..  216.38%,,
1004,daf-2;npa-1,Double mutant,1,35.73% .. 450.59%,[est.],
1005,daf-2;npp-2,Double mutant,1,58.50%,,
1006,daf-2;npp-3,Double mutant,1,65.99%,,
1007,daf-2;npr-1,Double mutant,3,88.99% ..  150.63%,,
1008,daf-2;nsh-1,Double mutant,1,58.50%,,
1009,daf-2;nspb-7,Double mutant,1,-14.44% .. 247.06%,[est.],
1010,daf-2;ntl-3,Double mutant,1,43.54%,,
1011,daf-2;nuo-2,Double mutant,1,40.66% .. 470.59%,[est.],
1012,daf-2;nuo-3,Double mutant,1,89.1% .. 667.06%,[est.],
1013,daf-2;nuo-4,Double mutant,1,103.31% .. 724.71%,[est.],
1014,daf-2;nuo-5,Double mutant,1,68.79% .. 584.71%,[est.],
1015,daf-2;nuo-6,Double mutant,2,155.68% ..  164.32%,,
1016,daf-2;odr-3,Double mutant,1,175.56%,,
1017,daf-2;oga-1,Double mutant,1,35.85%,,
1018,daf-2;ogt-1,Double mutant,1,-16.98%,,
1019,daf-2;osm-3,Double mutant,1,112.77%,,
1020,daf-2;par-4,Double mutant,1,27.32%,,
1021,daf-2;par-5,Double mutant,3,90.00% ..  232.43%,,
1022,daf-2;pas-1,Double mutant,1,63.29%,,
1023,daf-2;pas-5,Double mutant,1,-24.15%,,
1024,daf-2;pas-6,Double mutant,1,-34.78%,,
1025,daf-2;pas-7,Double mutant,1,64.25%,,
1026,daf-2;pat-4,Double mutant,1,39.5% .. 465.88%,[est.],
1027,daf-2;pat-6,Double mutant,1,45.88% .. 491.76%,[est.],
1028,daf-2;pbs-2,Double mutant,1,-37.20%,,
1029,daf-2;pbs-3,Double mutant,1,-42.51%,,
1030,daf-2;pbs-4,Double mutant,1,-41.06%,,
1031,daf-2;pbs-5,Double mutant,1,-39.61%,,
1032,daf-2;pbs-6,Double mutant,1,-18.36%,,
1033,daf-2;pbs-7,Double mutant,1,-40.10%,,
1034,daf-2;pek-1,Double mutant,7,38.24% ..  176.37%,,
1035,daf-2;pep-2,Double mutant,2,134.56% ..  248.18%,,
1036,daf-2;pgl-1,Double mutant,3,56.92% ..  120.46%,,
1037,daf-2;pgl-2,Double mutant,3,53.60% ..  126.84%,,
1038,daf-2;pgl-3,Double mutant,3,58.08% ..  140.43%,,
1039,daf-2;pgp-7,Double mutant,1,-24.88% .. 204.71%,[est.],
1040,daf-2;pha-4,Double mutant,3,43.26% ..  119.59%,,
1041,daf-2;pie-1,Double mutant,3,50.12% ..  112.68%,,
1042,daf-2;pmk-1,Double mutant,1,28.22%,,
1043,daf-2;pmq-1,Double mutant,2,39.76% ..  125.40%,,
1044,daf-2;pnk-1,Double mutant,1,54.42%,,
1045,daf-2;pptr-1,Double mutant,2,25.21% ..  28.69%,,
1046,daf-2;pqm-1,Double mutant,2,44.91% ..  44.91%,,
1047,daf-2;prmt-1,Double mutant,4,141.06% ..  142.24%,,
1048,daf-2;prmt-1;prmt-1,Triple mutant,4,-38.52% .. -156.24%,[est.],
1049,daf-2;R11A5.4,Double mutant,2,42.69% .. 173.18%,[est.],
1050,daf-2;R12B2.6,Double mutant,1,99.32%,,
